"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAP3K6",-0.40899501355482,6.67221451086153,-3.37380152686407,0.00591239076170541,0.018690528835556,-3.66742824450633
"RPS17",-0.242448719513821,8.94527681708733,-3.37336204111684,0.00591707777744108,0.018697017358192,-3.66823362384891
"SLC39A11",0.130077542609492,6.97966886453348,3.37295307651125,0.00592144269234685,0.0187024827715112,-3.66898307179158
"CPSF6",-0.174126464301001,9.22079326885829,-3.37127265170134,0.00593941247213565,0.0187508942681258,-3.67206253445115
"TANC1",-0.202498156858672,8.40823851250213,-3.36913095925428,0.0059623954082453,0.0188097864368739,-3.67598729403076
"RAC1",-0.176368039608953,8.98115500196226,-3.36904055478973,0.00596336754726874,0.0188097864368739,-3.67615296477806
"NUP107",-0.138435664941399,9.90326303728357,-3.3668621254844,0.00598684155726733,0.018875439596591,-3.68014504591496
"SCAI",-0.362412604702892,7.2708039070189,-3.36419569402524,0.00601570226465607,0.0189580102008278,-3.68503141224426
"CERS2",0.40433139473125,7.30628943583045,3.36289035402977,0.00602988252407553,0.0189891451778168,-3.68742350958296
"ARGLU1",-0.542660711308324,8.85924547187301,-3.36279375623586,0.00603093324373665,0.0189891451778168,-3.68760052954157
"PDE4DIP",-0.204801716705399,5.62564365887251,-3.36223088095514,0.00603705949640956,0.019000004987148,-3.68863202450569
"ZNF865",0.392689814139827,5.22723634713393,3.36176992538199,0.00604208118977778,0.0190073804095093,-3.68947674660574
"HPS3",-0.217549499928994,7.49602521337089,-3.35807351228021,0.00608250439826393,0.0191199953345455,-3.69625058069698
"KIDINS220",-0.315439786918734,6.07193565509337,-3.35793791120315,0.00608399252918505,0.0191199953345455,-3.69649907498635
"EEF1D",0.245417523756492,9.9165907109756,3.35775853813228,0.00608596159796226,0.0191199953345455,-3.69682778311552
"SNX4",0.107755541818328,7.98839634418548,3.35667718825005,0.00609784587694028,0.0191427201274449,-3.69880939746085
"RND3",-0.228454312106841,7.68680078233516,-3.35660959063811,0.00609858957420783,0.0191427201274449,-3.69893327254703
"SRI",0.226747800738725,9.51556266368416,3.35625687458051,0.00610247159385914,0.0191464371802026,-3.69957963740981
"BORCS6",-0.568052238637096,4.80850912145418,-3.3547428488571,0.0061191636756982,0.0191903246161865,-3.70235414079198
"AQR",-0.161045618038022,9.43767150482211,-3.35384779693445,0.0061290534490973,0.0192128499683054,-3.70399435111805
"COTL1",0.167838747815745,9.57413403392862,3.35244380635032,0.00614459947669606,0.0192530783603143,-3.70656720302555
"PHC2",-0.167763705177018,8.11979995685168,-3.35081036100117,0.00616273672833854,0.0193013868318705,-3.70956053011668
"HINT2",0.137655294204711,8.10015932289593,3.34969348240059,0.00617516955311791,0.0193317945824781,-3.71160723173934
"SEPHS2",-0.128296134600517,6.53929639155217,-3.34851784441552,0.00618828405821063,0.0193643086248328,-3.71376160662891
"METTL15",-0.282108179645816,5.86508447831278,-3.34761616420514,0.00619836171128439,0.0193872953129067,-3.71541394638518
"MYO1B",-0.108078830370602,10.786577775967,-3.34719814667004,0.0062030393613421,0.019393379007685,-3.71617996751616
"KLC2",0.131375965580522,9.16788401682932,3.3445391764675,0.00623287768815086,0.0194780858444767,-3.72105254018234
"SUGP2",-0.109603617353551,9.10682183874587,-3.34294948685022,0.00625078654028344,0.0195254542589752,-3.72396563844906
"RAN",-0.233955467218358,9.28626022647129,-3.34257323193819,0.00625503294724231,0.0195301226689744,-3.72465512208636
"DENR",0.148295845817831,8.52117097625368,3.34192309668979,0.00626237728371504,0.0195444554012865,-3.72584648740354
"HSPA14",-0.126171941575626,9.35668620697605,-3.34122021276522,0.00627032737566278,0.0195606652242104,-3.72713451188039
"COPS7B",0.193677504271907,8.17767468720183,3.33996697203391,0.00628452786638528,0.0195961527125639,-3.7294310513355
"PDPR",0.0976523259990749,8.68989081080709,3.33972921821681,0.00628722554974046,0.0195961527125639,-3.72986672975786
"HSD17B12",0.237290348883221,9.77600508648152,3.33897859572015,0.00629575025389106,0.0196141086707045,-3.7312422264399
"VIRMA",-0.129592681538337,8.92876763796111,-3.33801063097156,0.00630676064626638,0.0196397895158195,-3.73301599305832
"D2HGDH",-0.181887301831755,8.0487474922356,-3.33671695631414,0.00632150651849995,0.019670136518989,-3.73538660572107
"SEC22A",0.233197109900766,6.54104164732054,3.3366694266404,0.00632204895023447,0.019670136518989,-3.73547370198137
"MRPL58",-0.196755920415001,9.11669689549866,-3.33603085658048,0.00632934121612606,0.0196760881073749,-3.73664385533297
"HCFC1",-0.0998242920759278,10.5349739072322,-3.33601637293203,0.00632950671398295,0.0196760881073749,-3.73667039599647
"KIAA1671",-0.141978753622674,9.61106237161868,-3.33539982983947,0.00633655574714396,0.0196893765925923,-3.73780018363572
"LRRC8D",-0.306328814199964,4.6877175313914,-3.33453127389457,0.00634649963666509,0.0197116446045567,-3.73939176989082
"CDYL",-0.199575528879005,6.5550124129811,-3.33412460093972,0.00635116099393831,0.0197174932519598,-3.74013697667452
"SPNS1",-0.281223002062977,5.21562962862487,-3.32862995329686,0.0064144841541997,0.0199053756197443,-3.75020552932545
"MTMR9",-0.209244991177915,7.51963844194074,-3.32802733264,0.00642146803569115,0.0199183385704983,-3.75130977700687
"PRPS2",-0.140459347063834,8.65284681936301,-3.32717673498465,0.00643133893381392,0.0199257377041161,-3.75286841576569
"TBL3",-0.136555289928369,9.92058547820948,-3.32703800168667,0.00643295035011213,0.0199257377041161,-3.75312263076976
"DESI1",-0.416146459787592,6.9215435692495,-3.3268861475981,0.00643471463791663,0.0199257377041161,-3.75340088816481
"SH3GLB2",-0.125251072567865,9.36144329667344,-3.3268543655835,0.00643508395347811,0.0199257377041161,-3.75345912549996
"BRAP",-0.153272703692736,7.83178305628517,-3.32497526729278,0.00645695794557323,0.0199827612307853,-3.75690237059546
"SLC25A13",0.12858530947468,9.64795401734757,3.32461775062195,0.00646112823994748,0.0199827612307853,-3.75755747843178
"CYRIB",0.141722327974062,10.0223503403894,3.32454759648285,0.00646194688243657,0.0199827612307853,-3.75768602764363
"CAT",-0.139223020676681,10.3218839036589,-3.32354696042374,0.00647363499194434,0.0200101862098558,-3.75951957153666
"TSR3",-0.209141183427935,5.84570843282114,-3.32072850759464,0.00650667213880781,0.0201029231422624,-3.76468400183407
"MICU2",-0.140587286454883,8.07270781052897,-3.32050476251957,0.00650930215315189,0.0201029231422624,-3.76509398144069
"COA7",-0.293082332438985,8.27427590495408,-3.31820042798718,0.00653645146164812,0.0201717403568119,-3.76931630795288
