"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PNPLA4",0.0308358051683522,5.25057857839511,0.34003502315655,0.740007509421695,0.817915168099326,-7.80742312212022
"SNAP23",0.0199335991518161,8.25866414096379,0.339765653909582,0.740205040722998,0.818006099970588,-7.80752156426969
"DMTN",0.111914790267649,5.32077483049221,0.338995339474089,0.740770027787285,0.818503018403606,-7.80780265706605
"TMEM135",-0.0390367550415744,4.13247132902363,-0.338395681788756,0.741209956674361,0.818861622434299,-7.80802104325639
"TERF2",-0.0116098965509419,8.61203793005599,-0.338103122656298,0.741424622719177,0.818971291430038,-7.8081274512916
"ZDHHC13",-0.0151062249447333,6.19032546456862,-0.33766280079917,0.741747753159824,0.819135069216658,-7.80828743273553
"AKT2",-0.0127294445036199,9.64351453694558,-0.337586526245792,0.741803732542688,0.819135069216658,-7.80831512468307
"VBP1",-0.0190281010877023,9.38474236687708,-0.337111057315055,0.742152723453219,0.819271082162159,-7.80848760835546
"CIAPIN1",0.0188928528516161,8.91775826274038,0.33692014810928,0.742292866446726,0.819271082162159,-7.80855679655798
"SIRT5",-0.0208172511949192,6.75111115523216,-0.336754059311275,0.742414797124923,0.819271082162159,-7.80861695824077
"ONECUT2",0.0416612551767201,4.5472327676508,0.336638592778482,0.742499568835417,0.819271082162159,-7.80865876608653
"OXNAD1",-0.0798834481539226,5.81104737131586,-0.33663242053846,0.742504100389884,0.819271082162159,-7.80866100052069
"ANXA10",-0.0365438355947187,8.58018916603295,-0.334539177902906,0.744041507617394,0.820839822720449,-7.80941646590856
"ARMH3",0.0211703571681152,8.0005352544138,0.334254082786078,0.744250989048735,0.82094331197993,-7.80951900116179
"MCM3AP",-0.0198528631930248,8.05939865139085,-0.33325454401835,0.744985597227282,0.82162591818524,-7.80987781093073
"PLEKHA3",0.0310153938574507,4.74604236963565,0.332313746553993,0.745677274505466,0.822217218103858,-7.81021457124417
"TMCO1",-0.0160779439123377,7.3051458404127,-0.332210154776476,0.745753449758283,0.822217218103858,-7.810251595058
"HINT3",-0.019093795545138,6.10991605944691,-0.331719007054413,0.746114649102221,0.822487677023681,-7.8104269776949
"ZBTB33",0.0391828936795724,5.39136712117017,0.331253205771177,0.746457266771883,0.822737571405506,-7.81059307428167
"LEMD3",0.0166866984029177,9.70321892425774,0.330535941959494,0.74698495772559,0.823191342387968,-7.81084839029339
"VAC14",-0.0131122391455047,9.7302910549381,-0.329752039142325,0.747561829147388,0.823533926987074,-7.81112680606899
"STXBP2",-0.01582779748753,9.84613889259481,-0.329719644356197,0.747585671819985,0.823533926987074,-7.81113829764691
"TP53RK",0.0147818693682549,8.32821749354338,0.32964046811061,0.747643946960366,0.823533926987074,-7.81116637960335
"STX4",-0.013105096719924,8.91450290518327,-0.329204729052979,0.747964688057309,0.823759371685711,-7.81132080760983
"HDLBP",0.0105945745319733,11.9339468455442,0.328438138560631,0.748529084310555,0.823859996030803,-7.81159200447894
"SNIP1",0.0194441694043066,7.31931366229488,0.32833719356399,0.748603415691027,0.823859996030803,-7.81162766958572
"RAB5B",0.010974590792431,8.2577729813627,0.328259605276619,0.748660550039796,0.823859996030803,-7.81165507516827
"RPRD1B",-0.034006282980739,8.51896618346229,-0.327968783432084,0.748874718951309,0.823859996030803,-7.81175774213125
"ABCD3",-0.0167480605199604,10.2535754292429,-0.327774744035949,0.749017626947195,0.823859996030803,-7.81182619294395
"PFKL",-0.0146904674170383,9.8031825657304,-0.327588107285777,0.749155092211909,0.823859996030803,-7.81189199483539
"RPL24",-0.0241782654636236,9.68381300369859,-0.327537650193359,0.749192257388869,0.823859996030803,-7.81190977800712
"WDR11",-0.0204307671760642,7.74224072184294,-0.327515992944148,0.74920820967038,0.823859996030803,-7.8119174100953
"PPA2",-0.0111211950699506,10.062028056388,-0.327507291077249,0.749214619319763,0.823859996030803,-7.81192047652328
"STAM",-0.0178115650885591,9.03661085257947,-0.327504180424134,0.749216910579513,0.823859996030803,-7.81192157265874
"ARPP19",0.0387691803563648,7.41870903838129,0.326537527311491,0.749929054283273,0.824437222016671,-7.81226170804282
"GET3",0.01027465371501,9.04314084697899,0.326476295014921,0.749974172937808,0.824437222016671,-7.81228322056498
"AIMP1",-0.0114344930712917,9.83291622028659,-0.325548873783917,0.750657656521847,0.825060769449519,-7.81260856394586
"SYTL1",0.0227739308498212,4.38608919348578,0.324906294055772,0.751131350332799,0.825453575923176,-7.81283345090962
"AK1",-0.015480840902736,8.71711189548035,-0.324510122456079,0.751423451321336,0.825646730767537,-7.81297188378666
"TRAF3IP2",-0.0236690663708083,5.54051403842784,-0.324254111092656,0.751612232400549,0.825726317855526,-7.81306125276218
"DCUN1D1",-0.0156729694422086,8.94567322822378,-0.323393254176361,0.752247146388796,0.826295929100957,-7.81336125457494
"SNX7",-0.0180557073488625,7.1647147013893,-0.323191974537497,0.752395625105901,0.826331128346732,-7.81343128599178
"POLR3E",0.0132770946711727,8.25192943780323,0.322472687483688,0.752926309357997,0.826786015397448,-7.81368119837681
"MARVELD3",0.113421909642309,3.24200404593361,0.321986244617879,0.753285278251214,0.827052230777981,-7.8138499004016
"PKN2",-0.0138020172104909,9.85270811790684,-0.3208270895217,0.754140917028577,0.82782317015158,-7.81425089602165
"RAB33B",0.0123596144045273,8.05244032677333,0.320718970036367,0.754220743722717,0.82782317015158,-7.81428822622864
"CHMP7",-0.0155817625901964,8.21808200102971,-0.320309401012093,0.754523163458228,0.827940630553786,-7.81442952526832
"NME3",0.0247439861186267,7.79450558168261,0.32025805187227,0.754561081925023,0.827940630553786,-7.81444722792624
"GUCY1A1",-0.0537689790588183,3.3775383357299,-0.319802681103911,0.754897377160758,0.828048270892885,-7.81460409539739
"ELOC",0.0291804991215407,8.98285322222061,0.319488433971652,0.755129482168464,0.828048270892885,-7.81471222033107
"CAPN8",-0.0270291351994016,5.37030258382451,-0.319485256600122,0.75513182912439,0.828048270892885,-7.81471331305555
"RSU1",-0.0132533812330582,9.24657877675284,-0.319443707693546,0.755162519335649,0.828048270892885,-7.81472760108743
"GEMIN6",0.0209893426798224,7.04483641299986,0.319335348389397,0.755242561292045,0.828048270892885,-7.81476485560295
"IVD",0.0116211323929516,9.31438207184808,0.318387303070265,0.755942982823479,0.828627625155382,-7.81509026921347
"MAVS",0.0156597015950535,8.62373316002976,0.318304064275566,0.756004491035804,0.828627625155382,-7.81511879528312
"SPCS2",0.0209780149888026,8.83207218682502,0.31807972374489,0.756170273267134,0.828648535531148,-7.81519564065951
"UPF2",-0.0112724810568245,9.81757692124655,-0.317962248715157,0.756257089563935,0.828648535531148,-7.81523585920309
"ITPA",0.0118110189437699,7.72081949578249,0.314249658221099,0.759002560242502,0.831416308263225,-7.81649937441214
"PRORP",0.019400418651311,7.21617361784138,0.314229646884863,0.759017368076291,0.831416308263225,-7.81650614540581
"C1orf52",-0.0336477646802003,6.53571977798009,-0.313630973943642,0.759460415857227,0.831709233090387,-7.8167085151352
"ANO6",-0.014463676735577,8.38823964377507,-0.313551592773571,0.759519168614738,0.831709233090387,-7.8167353199119
"MRPL57",-0.0228862747640788,6.28101647429018,-0.313300371658835,0.75970511646676,0.831784512737519,-7.81682010622788
"ELOB",-0.0168596308402442,8.99769131732571,-0.312841763227645,0.760044608140084,0.832027855000798,-7.81697471281796
"ABHD5",0.0183614383427555,6.96706572242249,0.31177256607397,0.760836301022199,0.832762002683797,-7.81733429719963
"HSPA6",0.0329706187401717,4.13958553565594,0.311619151943048,0.760949920727691,0.832762002683797,-7.81738579301066
"DBX1",-0.0329975157647553,6.91067785721979,-0.311146996068995,0.761299639809229,0.833016272544881,-7.81754412303135
"ENSA",-0.0248932721811279,8.10148800361714,-0.310029190173866,0.762127803351651,0.833634234736175,-7.81791802069069
"PIN4",-0.024218155671301,8.833292086169,-0.310019227441619,0.762135185965483,0.833634234736175,-7.81792134720085
"MGST3",0.0393462973416741,7.65340208252276,0.309909107962049,0.762216788671698,0.833634234736175,-7.81795810858338
"MLLT1",-0.0266321653573804,5.61820926018065,-0.309044330330208,0.762857725998664,0.834206668938755,-7.81824635242159
"DCAF16",0.031988544013708,4.47339851699507,0.308740128245277,0.763083231928916,0.834324710676247,-7.81834755939502
"RPL14",-0.0262309652444124,9.02263894483395,-0.308198883304416,0.763484514921059,0.834570470517505,-7.81852738735554
"DGAT1",-0.033258573588685,5.65462301348197,-0.308004658888716,0.763628531947116,0.834570470517505,-7.81859184252031
"RPL22L1",0.0318136265422488,6.71859615853171,0.307961155019498,0.763660791255555,0.834570470517505,-7.81860627420301
"MAPKAPK3",-0.0111438857949775,8.79258137491854,-0.307780738834768,0.763794579764244,0.834588165140391,-7.81866610286374
"OSBPL3",0.0124171580665955,10.01152448195,0.306282873192681,0.764905638461657,0.835673540049628,-7.81916148551232
"RIOK1",0.0273972897774613,4.53552482172934,0.305655953894037,0.765370826318555,0.836053063626718,-7.8193681181194
"LIG4",-0.0635031265658519,4.26080916918884,-0.304687365025753,0.766089729501017,0.836709573756343,-7.81968654615822
"HNRNPH3",0.0135610697793691,8.42910082900137,0.304055778647353,0.766558627034076,0.837092872143535,-7.81989364750107
"EXTL3",0.0236819587070309,6.47987220785628,0.303764918411732,0.766774597953788,0.837199895642774,-7.81998888029453
"CACYBP",-0.0207371124208642,9.29642317287806,-0.303393728332637,0.76705024566991,0.837372034074658,-7.82011028424958
"FAM78B",-0.0113444818992763,6.48776836312928,-0.302821997031056,0.767474881873363,0.837706742026339,-7.82029699282781
"NLN",-0.00967812321088068,10.2566695799346,-0.302295814635919,0.767865758104521,0.837895416680877,-7.82046852039444
"ARHGAP1",-0.00915375915870342,9.92855664838586,-0.302271441990862,0.767883865026409,0.837895416680877,-7.82047645839748
"COPG2",0.00943860584709455,9.45862364055897,0.301225179621964,0.768661289687129,0.838614784459578,-7.82081662497473
"ACOT7",0.0106067688899163,9.26873640795309,0.300996138121215,0.768831514152587,0.838671573307856,-7.82089093733297
